,Key,Month,School_Code,School_Year,Student_Group,Metric,SchoolScore,AverageScore,ReportType,NSize,count
330-2013-14-All Students-Entry-External-January,330-2013-14-All Students-Entry-External,January,330,2013-14,All Students,Entry,0.023668639,0.031586166,External,507,12
330-2013-14-All Students-Withdrawal-External-January,330-2013-14-All Students-Withdrawal-External,January,330,2013-14,All Students,Withdrawal,0.031558186,0.034071915,External,507,16
330-2013-14-All Students-Net Cumulative-External-January,330-2013-14-All Students-Net Cumulative-External,January,330,2013-14,All Students,Net Cumulative,-0.007889546,-0.00248575,External,507,-4
330-2013-14-All Students-Entry-External-March,330-2013-14-All Students-Entry-External,March,330,2013-14,All Students,Entry,0.031558186,0.041829169,External,507,16
330-2013-14-All Students-Withdrawal-External-March,330-2013-14-All Students-Withdrawal-External,March,330,2013-14,All Students,Withdrawal,0.04536489,0.047057815,External,507,23
330-2013-14-All Students-Net Cumulative-External-March,330-2013-14-All Students-Net Cumulative-External,March,330,2013-14,All Students,Net Cumulative,-0.013806706,-0.005228646,External,507,-7
330-2013-14-All Students-Entry-External-May,330-2013-14-All Students-Entry-External,May,330,2013-14,All Students,Entry,0.039447732,0.052072171,External,507,20
330-2013-14-All Students-Withdrawal-External-May,330-2013-14-All Students-Withdrawal-External,May,330,2013-14,All Students,Withdrawal,0.047337279,0.056165088,External,507,24
330-2013-14-All Students-Net Cumulative-External-May,330-2013-14-All Students-Net Cumulative-External,May,330,2013-14,All Students,Net Cumulative,-0.007889546,-0.004092915,External,507,-4
330-2013-14-All Students-Entry-External-November,330-2013-14-All Students-Entry-External,November,330,2013-14,All Students,Entry,0.013806706,0.01965028,External,507,7
330-2013-14-All Students-Withdrawal-External-November,330-2013-14-All Students-Withdrawal-External,November,330,2013-14,All Students,Withdrawal,0.007889546,0.019071702,External,507,4
330-2013-14-All Students-Net Cumulative-External-November,330-2013-14-All Students-Net Cumulative-External,November,330,2013-14,All Students,Net Cumulative,0.00591716,0.00057858,External,507,3
330-2013-14-All Students-Entry-External-October,330-2013-14-All Students-Entry-External,October,330,2013-14,All Students,Entry,0.009861933,0.013221618,External,507,5
330-2013-14-All Students-Withdrawal-External-October,330-2013-14-All Students-Withdrawal-External,October,330,2013-14,All Students,Withdrawal,0.001972387,0.011743025,External,507,1
330-2013-14-All Students-Net Cumulative-External-October,330-2013-14-All Students-Net Cumulative-External,October,330,2013-14,All Students,Net Cumulative,0.007889546,0.001478593,External,507,4
332-2013-14-All Students-Entry-External-April,332-2013-14-All Students-Entry-External,April,332,2013-14,All Students,Entry,0.090308368,0.050190546,External,454,41
332-2013-14-All Students-Withdrawal-External-April,332-2013-14-All Students-Withdrawal-External,April,332,2013-14,All Students,Withdrawal,0.057268724,0.054866787,External,454,26
332-2013-14-All Students-Net Cumulative-External-April,332-2013-14-All Students-Net Cumulative-External,April,332,2013-14,All Students,Net Cumulative,0.033039648,-0.004676241,External,454,15
332-2013-14-All Students-Entry-External-December,332-2013-14-All Students-Entry-External,December,332,2013-14,All Students,Entry,0.030837005,0.024213277,External,454,14
332-2013-14-All Students-Withdrawal-External-December,332-2013-14-All Students-Withdrawal-External,December,332,2013-14,All Students,Withdrawal,0.017621145,0.025095273,External,454,8
332-2013-14-All Students-Net Cumulative-External-December,332-2013-14-All Students-Net Cumulative-External,December,332,2013-14,All Students,Net Cumulative,0.013215859,-0.000881996,External,454,6
332-2013-14-All Students-Entry-External-February,332-2013-14-All Students-Entry-External,February,332,2013-14,All Students,Entry,0.070484579,0.038325205,External,454,32
332-2013-14-All Students-Withdrawal-External-February,332-2013-14-All Students-Withdrawal-External,February,332,2013-14,All Students,Withdrawal,0.030837005,0.040355463,External,454,14
332-2013-14-All Students-Net Cumulative-External-February,332-2013-14-All Students-Net Cumulative-External,February,332,2013-14,All Students,Net Cumulative,0.039647575,-0.002030254,External,454,18
332-2013-14-All Students-Entry-External-January,332-2013-14-All Students-Entry-External,January,332,2013-14,All Students,Entry,0.048458152,0.032417499,External,454,22
332-2013-14-All Students-Withdrawal-External-January,332-2013-14-All Students-Withdrawal-External,January,332,2013-14,All Students,Withdrawal,0.028634362,0.033366062,External,454,13
332-2013-14-All Students-Net Cumulative-External-January,332-2013-14-All Students-Net Cumulative-External,January,332,2013-14,All Students,Net Cumulative,0.019823788,-0.000948561,External,454,9
332-2013-14-All Students-Entry-External-March,332-2013-14-All Students-Entry-External,March,332,2013-14,All Students,Entry,0.081497796,0.044232912,External,454,37
332-2013-14-All Students-Withdrawal-External-March,332-2013-14-All Students-Withdrawal-External,March,332,2013-14,All Students,Withdrawal,0.044052862,0.047411427,External,454,20
332-2013-14-All Students-Net Cumulative-External-March,332-2013-14-All Students-Net Cumulative-External,March,332,2013-14,All Students,Net Cumulative,0.037444934,-0.003178513,External,454,17
332-2013-14-All Students-Entry-External-May,332-2013-14-All Students-Entry-External,May,332,2013-14,All Students,Entry,0.090308368,0.05516633,External,454,41
332-2013-14-All Students-Withdrawal-External-May,332-2013-14-All Students-Withdrawal-External,May,332,2013-14,All Students,Withdrawal,0.06167401,0.059193555,External,454,28
332-2013-14-All Students-Net Cumulative-External-May,332-2013-14-All Students-Net Cumulative-External,May,332,2013-14,All Students,Net Cumulative,0.028634362,-0.004027226,External,454,13
332-2013-14-All Students-Entry-External-November,332-2013-14-All Students-Entry-External,November,332,2013-14,All Students,Entry,0.028634362,0.019903148,External,454,13
332-2013-14-All Students-Withdrawal-External-November,332-2013-14-All Students-Withdrawal-External,November,332,2013-14,All Students,Withdrawal,0.015418503,0.018505268,External,454,7
332-2013-14-All Students-Net Cumulative-External-November,332-2013-14-All Students-Net Cumulative-External,November,332,2013-14,All Students,Net Cumulative,0.013215859,0.00139788,External,454,6
332-2013-14-All Students-Entry-External-October,332-2013-14-All Students-Entry-External,October,332,2013-14,All Students,Entry,0.015418503,0.013379707,External,454,7
332-2013-14-All Students-Withdrawal-External-October,332-2013-14-All Students-Withdrawal-External,October,332,2013-14,All Students,Withdrawal,0.00660793,0.010983342,External,454,3
332-2013-14-All Students-Net Cumulative-External-October,332-2013-14-All Students-Net Cumulative-External,October,332,2013-14,All Students,Net Cumulative,0.008810572,0.002396366,External,454,4
333-2013-14-All Students-Entry-External-April,333-2013-14-All Students-Entry-External,April,333,2013-14,All Students,Entry,0.005504587,0.045681424,External,545,3
333-2013-14-All Students-Withdrawal-External-April,333-2013-14-All Students-Withdrawal-External,April,333,2013-14,All Students,Withdrawal,0.018348623,0.048936632,External,545,10
333-2013-14-All Students-Net Cumulative-External-April,333-2013-14-All Students-Net Cumulative-External,April,333,2013-14,All Students,Net Cumulative,-0.012844036,-0.003255208,External,545,-7
333-2013-14-All Students-Entry-External-December,333-2013-14-All Students-Entry-External,December,333,2013-14,All Students,Entry,0.003669725,0.021809896,External,545,2
333-2013-14-All Students-Withdrawal-External-December,333-2013-14-All Students-Withdrawal-External,December,333,2013-14,All Students,Withdrawal,0.005504587,0.02307581,External,545,3
333-2013-14-All Students-Net Cumulative-External-December,333-2013-14-All Students-Net Cumulative-External,December,333,2013-14,All Students,Net Cumulative,-0.001834862,-0.001265914,External,545,-1
333-2013-14-All Students-Entry-External-February,333-2013-14-All Students-Entry-External,February,333,2013-14,All Students,Entry,0.005504587,0.036096644,External,545,3
333-2013-14-All Students-Withdrawal-External-February,333-2013-14-All Students-Withdrawal-External,February,333,2013-14,All Students,Withdrawal,0.014678899,0.037651911,External,545,8
333-2013-14-All Students-Net Cumulative-External-February,333-2013-14-All Students-Net Cumulative-External,February,333,2013-14,All Students,Net Cumulative,-0.009174312,-0.001555266,External,545,-5
333-2013-14-All Students-Entry-External-January,333-2013-14-All Students-Entry-External,January,333,2013-14,All Students,Entry,0.003669725,0.030598959,External,545,2
333-2013-14-All Students-Withdrawal-External-January,333-2013-14-All Students-Withdrawal-External,January,333,2013-14,All Students,Withdrawal,0.012844036,0.031286169,External,545,7
333-2013-14-All Students-Net Cumulative-External-January,333-2013-14-All Students-Net Cumulative-External,January,333,2013-14,All Students,Net Cumulative,-0.009174312,-0.000687211,External,545,-5
333-2013-14-All Students-Entry-External-March,333-2013-14-All Students-Entry-External,March,333,2013-14,All Students,Entry,0.005504587,0.041666668,External,545,3
333-2013-14-All Students-Withdrawal-External-March,333-2013-14-All Students-Withdrawal-External,March,333,2013-14,All Students,Withdrawal,0.018348623,0.043366607,External,545,10
333-2013-14-All Students-Net Cumulative-External-March,333-2013-14-All Students-Net Cumulative-External,March,333,2013-14,All Students,Net Cumulative,-0.012844036,-0.001699942,External,545,-7
333-2013-14-All Students-Entry-External-May,333-2013-14-All Students-Entry-External,May,333,2013-14,All Students,Entry,0.00733945,0.048719618,External,545,4
333-2013-14-All Students-Withdrawal-External-May,333-2013-14-All Students-Withdrawal-External,May,333,2013-14,All Students,Withdrawal,0.018348623,0.051974826,External,545,10
333-2013-14-All Students-Net Cumulative-External-May,333-2013-14-All Students-Net Cumulative-External,May,333,2013-14,All Students,Net Cumulative,-0.011009174,-0.003255208,External,545,-6
333-2013-14-All Students-Entry-External-November,333-2013-14-All Students-Entry-External,November,333,2013-14,All Students,Entry,0.003669725,0.017469618,External,545,2
333-2013-14-All Students-Withdrawal-External-November,333-2013-14-All Students-Withdrawal-External,November,333,2013-14,All Students,Withdrawal,0.005504587,0.016637731,External,545,3
333-2013-14-All Students-Net Cumulative-External-November,333-2013-14-All Students-Net Cumulative-External,November,333,2013-14,All Students,Net Cumulative,-0.001834862,0.000831887,External,545,-1
333-2013-14-All Students-Entry-External-October,333-2013-14-All Students-Entry-External,October,333,2013-14,All Students,Entry,0.001834862,0.010597511,External,545,1
333-2013-14-All Students-Withdrawal-External-October,333-2013-14-All Students-Withdrawal-External,October,333,2013-14,All Students,Withdrawal,0,0.009620949,External,545,0
333-2013-14-All Students-Net Cumulative-External-October,333-2013-14-All Students-Net Cumulative-External,October,333,2013-14,All Students,Net Cumulative,0.001834862,0.000976563,External,545,1
335-2013-14-All Students-Entry-External-April,335-2013-14-All Students-Entry-External,April,335,2013-14,All Students,Entry,0.119909503,0.050190546,External,442,53
335-2013-14-All Students-Withdrawal-External-April,335-2013-14-All Students-Withdrawal-External,April,335,2013-14,All Students,Withdrawal,0.03846154,0.054866787,External,442,17
335-2013-14-All Students-Net Cumulative-External-April,335-2013-14-All Students-Net Cumulative-External,April,335,2013-14,All Students,Net Cumulative,0.081447966,-0.004676241,External,442,36
335-2013-14-All Students-Entry-External-December,335-2013-14-All Students-Entry-External,December,335,2013-14,All Students,Entry,0.036199097,0.024213277,External,442,16
335-2013-14-All Students-Withdrawal-External-December,335-2013-14-All Students-Withdrawal-External,December,335,2013-14,All Students,Withdrawal,0.018099548,0.025095273,External,442,8
335-2013-14-All Students-Net Cumulative-External-December,335-2013-14-All Students-Net Cumulative-External,December,335,2013-14,All Students,Net Cumulative,0.018099548,-0.000881996,External,442,8
335-2013-14-All Students-Entry-External-February,335-2013-14-All Students-Entry-External,February,335,2013-14,All Students,Entry,0.07013575,0.038325205,External,442,31
335-2013-14-All Students-Withdrawal-External-February,335-2013-14-All Students-Withdrawal-External,February,335,2013-14,All Students,Withdrawal,0.027149322,0.040355463,External,442,12
335-2013-14-All Students-Net Cumulative-External-February,335-2013-14-All Students-Net Cumulative-External,February,335,2013-14,All Students,Net Cumulative,0.042986427,-0.002030254,External,442,19
335-2013-14-All Students-Entry-External-January,335-2013-14-All Students-Entry-External,January,335,2013-14,All Students,Entry,0.049773756,0.032417499,External,442,22
335-2013-14-All Students-Withdrawal-External-January,335-2013-14-All Students-Withdrawal-External,January,335,2013-14,All Students,Withdrawal,0.024886878,0.033366062,External,442,11
